customer_id,customer_name,customer_gender,customer_birthdate,kids_home,teens_home,number_complaints,distinct_stores_visited,lifetime_spend_groceries,lifetime_spend_electronics,typical_hour,lifetime_spend_vegetables,lifetime_spend_nonalcohol_drinks,lifetime_spend_alcohol_drinks,lifetime_spend_meat,lifetime_spend_fish,lifetime_spend_hygiene,lifetime_spend_videogames,lifetime_spend_petfood,lifetime_total_distinct_products,percentage_of_products_bought_promotion,year_first_transaction,loyalty_card_number,latitude,longitude,cluster_alfragide,Cluster
38247,Mary Friou,female,05/02/1951 03:13 AM,0,0,2,3,53748,8,11,1632,725,2360,1350,840,892,2,12,302,0.0726510260860487,2009,,38.72394496848593,-9.214206552521604,1,Alfragide
32615,Craig Whetstone,male,10/10/1995 07:41 AM,0,0,1,1,19120,29,9,1356,510,1604,1530,3521,123,398,155,345,-0.0418971968392288,2019,,38.72274748162884,-9.213821633370683,1,Alfragide
34771,Charlene Sawyer,female,01/11/1977 08:22 PM,0,0,1,2,22968,134,9,2744,671,1947,2537,1626,434,14,288,418,0.0345033482916862,2011,,38.72260451121209,-9.213011329934004,1,Alfragide
36574,Sandra Kittelberger,female,11/01/1947 10:34 AM,0,,0,2,56347,54,7,2877,975,2816,1755,2302,90,121,132,753,0.0393435302116243,2008,,38.72403933789978,-9.21387074878294,1,Alfragide
39635,John Gibbs,male,10/25/1956 08:30 PM,0,0,1,1,16518,177,10,445,827,2614,2173,1469,802,23,122,312,0.137403639201705,2012,,38.72343592908783,-9.21335542569216,1,Alfragide
27516,Arturo Capps,male,01/12/1986 10:54 AM,0,0,1,1,35416,172,8,2415,584,2757,1818,2534,628,33,92,236,0.0160702814703048,2011,,38.72277954054647,-9.21489371302374,1,Alfragide
30150,William Wilde,male,11/24/1960 01:13 AM,0,0,,2,57402,72,8,1588,253,3489,1735,3650,596,402,126,302,0.0739312288418101,2012,,38.72400126991737,-9.213052277177646,1,Alfragide
27992,Edward Hern,male,03/16/1972 02:01 PM,0,0,1,2,70115,89,10,866,103,2159,1574,2249,410,205,94,586,0.0290090110927975,2011,,38.72226236353048,-9.213737779126216,1,Alfragide
24729,Gayle Sipos,female,06/22/1956 09:48 PM,0,0,1,3,77017,114,8,530,1058,3674,1518,3584,532,198,165,678,0.0795860782888006,2011,,38.723778876391776,-9.21371999478789,1,Alfragide
5213,Barbara Berry,female,08/12/1998 01:15 AM,0,0,2,2,112737,152,13,1034,950,1781,2831,2991,133,326,292,662,-0.0318923587572642,2022,,38.723763563391365,-9.21351326721702,1,Alfragide
35223,William Williams,male,09/16/1954 07:43 PM,0,0,2,1,36753,202,11,2744,1589,129,1518,1645,792,210,12,705,0.1011234086600484,2011,,38.72363877667873,-9.213686556064877,1,Alfragide
1186,Richard Patrick,male,09/14/1952 10:59 AM,0,0,1,2,18414,42,6,223,749,4591,959,2107,807,271,29,578,0.1814317836761251,2011,997659.0,38.72374237507787,-9.213008987950486,1,Alfragide
35645,Carole Thompson,female,03/16/1992 05:33 AM,0,0,1,2,87449,222,8,3046,844,2875,2007,1891,720,124,33,640,-0.0362765782385973,2016,,38.72355636419064,-9.214735902836834,1,Alfragide
25028,Kimberly Robinson,female,07/08/1971 11:53 AM,0,0,1,2,76595,6,9,30,1603,3124,2738,2557,36,173,208,751,0.0077159043117094,2009,,38.723372496871065,-9.214306584801388,1,Alfragide
1941,Charles Gossett,male,07/09/1962 12:23 PM,0,0,1,3,36957,30,9,397,1095,1568,2201,2320,222,263,146,765,0.0284125388428049,2008,,38.72324474474878,-9.213036340007765,1,Alfragide
